Ticker,Sector,Industry,Title
ABRD,Consumer Non-Cyclicals,Distillers & Wineries,ABRAU-DURSO
ACKO,Financials,Multiline Insurance & Brokers,ASKO-STRAKHOVANIE
AFKS,Telecommunications Services,Integrated Telecommunications Services,SISTEMA PJSFC
AFLT,Industrials,Airlines,AEROFLOT
AGRO,Consumer Non-Cyclicals,Food Processing,ROS AGRO PLC
AKRN,Basic Materials,Agricultural Chemicals,ACRON
ALNU,Basic Materials,Precious Metals & Minerals,ALROSA-NYURBA
ALRS,Basic Materials,Precious Metals & Minerals,ALROSA
AMEZ,Basic Materials,Steel,ASHINSKIY METALLUR
APTK,Consumer Non-Cyclicals,Drug Retailers,PHARMACY CHAIN 36
AQUA,Consumer Non-Cyclicals,Food Processing,RUSSIAN AQUACULTUR
ARMD,Technology,IT Services & Consulting,ARMADA
ARSA,Financials,Investment Management & Fund Operators,ARSAGERA ASSET MGM
ASSB,Utilities,Electric Utilities,ASTRAKHAN POWER SA
BANE,Energy,Integrated Oil & Gas,BASHNEFT
BANEP,Energy,Integrated Oil & Gas,BASHNEFT
BELU,Consumer Non-Cyclicals,Distillers & Wineries,BELUGA GROUP
BISV,Telecommunications Services,Integrated Telecommunications Services,BASHINFORMSVYAZ
BISVP,Telecommunications Services,Integrated Telecommunications Services,BASHINFORMSVYAZ
BLNG,Energy,Coal,BELON
BRZL,Basic Materials,Gold,BURYATZOLOTO
BSPB,Financials,Banks,BANK ST PETERSBURG
CBOM,Financials,Banks,CREDBK OF MOSCOW
CHEP,Basic Materials,Steel,CHELYABINSK PIPE
CHGZ,Financials,Real Estate Development & Operations,RN-WESTERN SIBERIA
CHKZ,Consumer Cyclicals,"Auto, Truck & Motorcycle Parts",CHELYABINSK FORGE&
CHMF,Basic Materials,Steel,SEVERSTAL
CHMK,Basic Materials,Steel,CHELYABINSK MET PL
CLSB,Utilities,Electric Utilities,CHELYABINSK POWER
CLSBP,Utilities,Electric Utilities,CHELYABINSK POWER
CNTL,Telecommunications Services,Integrated Telecommunications Services,CENTRAL TELEGRAPH
CNTLP,Telecommunications Services,Integrated Telecommunications Services,CENTRAL TELEGRAPH
DASB,,,DAGESTAN ENERGY SU
DIOD,Healthcare,Pharmaceuticals,DIOD
DSKY,Consumer Cyclicals,Department Stores,DETSKY MIR PUBLIC
DVEC,Utilities,Electric Utilities,FAR EASTERN ENERGY
DZRD,Industrials,Electrical Components & Equipment,DONSKOY FACTORY OF
DZRDP,Industrials,Electrical Components & Equipment,DONSKOY FACTORY OF
EELT,Industrials,Construction & Engineering,EUROPEAN ELTECH
ELTZ,Basic Materials,Specialty Mining & Metals,ELECTROZINK
ENPL,Basic Materials,Aluminum,EN+ GROUP PLC
ENRU,Utilities,Electric Utilities,ENEL RUSSIA
FEES,Utilities,Electric Utilities,FSK EES
FESH,Industrials,Marine Freight & Logistics,FAR-EASTERN SHIPPI
FIVE,Consumer Non-Cyclicals,Food Retail & Distribution,X5 RETAIL GROUP NV
FTRE,Financials,Investment Management & Fund Operators,FINL GROUP FUTURE
GAZA,Consumer Cyclicals,Auto & Truck Manufacturers,GAZ PUBLIC JOINT
GAZAP,Consumer Cyclicals,Auto & Truck Manufacturers,GAZ PUBLIC JOINT
GAZP,Energy,Integrated Oil & Gas,GAZPROM
GAZS,,,GAZ-SERVICE
GCHE,Consumer Non-Cyclicals,Fishing & Farming,CHERKIZOVO GROUP
GMKN,Basic Materials,Specialty Mining & Metals,MMC NORILSK NICKEL
GRNT,Industrials,Construction & Engineering,CITY INNOVATIVE TE
GTLC,Industrials,Construction & Engineering,GAS TO LIQUID JSC
GTRK,Industrials,Business Support Services,GLOBALTRUCK MGMT
GTSS,,,GEOTECH SEISMIC SE
HALS,Consumer Cyclicals,Homebuilding,HALS-DEVELOPMENT
HIMCP,Basic Materials,Commodity Chemicals,KHIMPROM
HYDR,Utilities,Electric Utilities,RUSHYDRO
IDVP,,,INVEST-DEVELOPMENT
IGST,Basic Materials,Steel,IZHSTAL PAO PUBIC
IRAO,Utilities,Electric Utilities,INTER RAO UES
IRGZ,Utilities,Electric Utilities,IRKUTSKENERGO
IRKT,Industrials,Aerospace & Defense,IRKUT CORPORATION
ISKJ,Healthcare,Biotechnology & Medical Research,HUMAN STEM CELLS
JNOS,Energy,Oil & Gas Refining and Marketing,SLAVNEFT YAROSLAVN
JNOSP,Energy,Oil & Gas Refining and Marketing,SLAVNEFT YAROSLAVN
KAZT,Basic Materials,Specialty Chemicals,KUIBYSHEVAZOT
KAZTP,Basic Materials,Specialty Chemicals,KUIBYSHEVAZOT
KBSB,Utilities,Electric Utilities,TNS ENERGO KUBAN
KBTK,Energy,Coal,KUZBASSKAYA TOP CO
KCHE,Utilities,Electric Utilities,KAMCHATSKENERGO P
KGKC,,,KURGAN GENERATION
KGKCP,,,KURGAN GENERATION
KLSB,Utilities,Electric Utilities,KALUGA POWER SALE
KMAZ,Industrials,Heavy Machinery & Vehicles,KAMAZ PTC
KMEZ,Industrials,Industrial Machinery & Equipment,KOVROV MECHANICAL
KMTZ,,,KGIW
KOGK,Basic Materials,Steel,KORSHYNOV MINING
KRKN,Energy,Oil & Gas Refining and Marketing,SARATOV OIL REFINE
KRKNP,Energy,Oil & Gas Refining and Marketing,SARATOV OIL REFINE
KRKOP,Industrials,Industrial Machinery & Equipment,KRASNY KOTELSHCHIK
KROT,Consumer Non-Cyclicals,Food Processing,KRASNYJ OCTYABR
KROTP,Consumer Non-Cyclicals,Food Processing,KRASNYJ OCTYABR
KRSB,Utilities,Electric Utilities,KRASNOYARSKENERGOS
KRSBP,Utilities,Electric Utilities,KRASNOYARSKENERGOS
KSGR,,,KOKS
KTSB,Utilities,Electric Utilities,KOSTROMSKAYA SBYTO
KTSBP,Utilities,Electric Utilities,KOSTROMSKAYA SBYTO
KUBE,Utilities,Electric Utilities,KUBANENERGO
KUZB,Financials,Banks,KUZNETSKY BANK PUB
KZMS,,,KRASNOKAMSK METAL
KZOS,Basic Materials,Commodity Chemicals,ORGANICHESKY SINTE
KZOSP,Basic Materials,Commodity Chemicals,ORGANICHESKY SINTE
LIFE,Healthcare,Pharmaceuticals,PHARMSYNTHEZ
LKOH,Energy,Integrated Oil & Gas,LUKOIL
LNTA,Consumer Non-Cyclicals,Food Retail & Distribution,LENTA LTD
LNZL,Basic Materials,Gold,LENZOLOTO
LNZLP,Basic Materials,Gold,LENZOLOTO
LPSB,Utilities,Electric Utilities,LIPETSK POWER SALE
LSNG,Utilities,Electric Utilities,LENENERGO
LSNGP,Utilities,Electric Utilities,LENENERGO
LSRG,Financials,Real Estate Development & Operations,LSR GROUP
LVHK,Technology,Office Equipment,LEVENHUK AO
MAGEP,Utilities,Electric Utilities,MAGADANENERGO
MAGN,Basic Materials,Steel,MAGNITOGORSK IRON&
MERF,,,MERIDIAN PUB JOINT
MFGS,Energy,Oil & Gas Exploration and Production,SLAVNEFT MEGIONEFT
MFGSP,Energy,Oil & Gas Exploration and Production,SLAVNEFT MEGIONEFT
MFON,Telecommunications Services,Wireless Telecommunications Services,MEGAFON
MGNT,Consumer Non-Cyclicals,Food Retail & Distribution,Magnit
MGNZ,Basic Materials,Specialty Mining & Metals,SOLIKAMSK MAGNESIU
MGTS,Telecommunications Services,Integrated Telecommunications Services,MOSCOW CITY TELEPH
MGTSP,Telecommunications Services,Integrated Telecommunications Services,MOSCOW CITY TELEPH
MGVM,Consumer Cyclicals,Entertainment Production,WAR AND PEACE MEDI
MISB,Utilities,Electric Utilities,TNS ENERGO MARI EL
MISBP,Utilities,Electric Utilities,TNS ENERGO MARI EL
MOBB,Financials,Banks,MOSCOVSKIY OBLASTN
MOEX,Financials,Financial & Commodity Market Operators,MOSCOW EXCHANGE
MORI,Technology,Communications & Networking,MORION (PERM)
MRKC,Utilities,Electric Utilities,IDGC CENTRE
MRKK,Utilities,Electric Utilities,IDGC NTH CAUC
MRKP,Utilities,Electric Utilities,IDGC CENTR & VOLGA
MRKS,Utilities,Electric Utilities,IDGC SIBERIA
MRKU,Utilities,Electric Utilities,MRSK URALA
MRKV,Utilities,Electric Utilities,IDGC OF VOLGA
MRKY,Utilities,Electric Utilities,IDGC OF SOUTH
MRKZ,Utilities,Electric Utilities,IDGC OF NORTH WEST
MRSB,Utilities,Electric Utilities,MORDOVIA ENERGY RE
MSNG,Utilities,Electric Utilities,MOSENERGO
MSRS,Utilities,Electric Utilities,MOSCOW UNITED ELEC
MSST,Industrials,Construction & Engineering,MULTISISTEMA
MSTT,Industrials,Construction & Engineering,MOSTOTREST
MTLR,Basic Materials,Steel,MECHEL
MTLRP,Basic Materials,Steel,MECHEL
MTSS,Telecommunications Services,Wireless Telecommunications Services,MTS
MVID,Consumer Cyclicals,Computer & Electronics Retailers,M VIDEO
NAUK,Industrials,Aerospace & Defense,NPO NAUKA
NFAZ,Industrials,Heavy Machinery & Vehicles,NEFAZ PTC
NKHP,Consumer Non-Cyclicals,Food Processing,NOVOROSSIYSK GRAIN
NKNC,Basic Materials,Commodity Chemicals,NIZHNEKAMSKNEFTEK
NKNCP,Basic Materials,Commodity Chemicals,NIZHNEKAMSKNEFTEK
NKSH,Consumer Cyclicals,Tires & Rubber Products,NIZHNEKAMSKSHINA C
NLMK,Basic Materials,Steel,NOVOLIPETSK STEEL
NMTP,Industrials,Marine Port Services,NOVOROSSIYSK COMME
NNSB,Utilities,Electric Utilities,TNS ENERGO NN
NNSBP,Utilities,Electric Utilities,TNS ENERGO NN
NPOF,,,FIZIKA SCIENTIFIC
NSVZ,Telecommunications Services,Integrated Telecommunications Services,NAUKA-TELECOM
NVTK,Energy,Integrated Oil & Gas,NOVATEK
OBUV,Consumer Cyclicals,Footwear,OR PUB JOINT STK C
ODVA,Consumer Cyclicals,Broadcasting,MEDIAHOLDING
OGKB,Utilities,Electric Utilities,OGK-2
OMZZP,Industrials,Industrial Machinery & Equipment,UNITED HEAVY MACH
OPIN,Financials,Real Estate Development & Operations,INGRAD
PAZA,Industrials,Heavy Machinery & Vehicles,PAVLOVO BUS
PHOR,Basic Materials,Agricultural Chemicals,PHOSAGRO
PIKK,Consumer Cyclicals,Homebuilding,PIK GROUP
PLSM,Industrials,Industrial Machinery & Equipment,PLASMEQ
PLZL,Basic Materials,Gold,POLYUS
PMSB,Utilities,Electric Utilities,PERM ENERGY SUPPLY
PMSBP,Utilities,Electric Utilities,PERM ENERGY SUPPLY
POLY,Basic Materials,Integrated  Mining,POLYMETAL INTL PLC
PRFN,Consumer Cyclicals,Construction Supplies & Fixtures,CHELYABINSK PLANT
PRMB,Financials,Banks,PRIMORYE COMM BANK
PRTK,Consumer Non-Cyclicals,Drug Retailers,PROTEK
QIWI,Industrials,Business Support Services,QIWI PLC
RASP,Energy,Coal,RASPADSKAYA
RAVN,Financials,Real Estate Development & Operations,RAVEN PROPERTY GRP
RBCM,Industrials,Professional Information Services,RBC
RDRB,,,ROSDORBANK
