Ticker,Sector,Industry,Title,Cap
ABRD,Consumer Non-Cyclicals,Distillers & Wineries,ABRAU-DURSO,13.72B
AFKS,Telecommunications Services,Integrated Telecommunications Services,SISTEMA PJSFC,84.36B
AFLT,Industrials,Airlines,AEROFLOT,102.77B
AKRN,Basic Materials,Agricultural Chemicals,ACRON,176.38B
ALNU,Basic Materials,Precious Metals & Minerals,ALROSA-NYURBA,51.52B
ALRS,Basic Materials,Precious Metals & Minerals,ALROSA,681.24B
AMEZ,Basic Materials,Steel,ASHINSKIY METALLUR,2.06B
APTK,Consumer Non-Cyclicals,Drug Retailers,PHARMACY CHAIN 36,37.63B
AQUA,Consumer Non-Cyclicals,Food Processing,RUSSIAN AQUACULTUR,17.52B
ARMD,Technology,IT Services & Consulting,ARMADA,115.34M
ARSA,Financials,Investment Management & Fund Operators,ARSAGERA ASSET MGM,350.4M
ASSB,Utilities,Electric Utilities,ASTRAKHAN POWER SA,709.28M
BANE,Energy,Integrated Oil & Gas,BASHNEFT,357.76B
BANEP,Energy,Integrated Oil & Gas,BASHNEFT,351.48B
BELU,Consumer Non-Cyclicals,Distillers & Wineries,BELUGA GROUP,6.7B
BLNG,Energy,Coal,BELON,4.77B
BRZL,Basic Materials,Gold,BURYATZOLOTO,6.1B
BSPB,Financials,Banks,BANK ST PETERSBURG,28.01B
CHEP,Basic Materials,Steel,CHELYABINSK PIPE,46.32B
CHGZ,Financials,Real Estate Development & Operations,RN-WESTERN SIBERIA,776.37M
CHKZ,Consumer Cyclicals,"Auto, Truck & Motorcycle Parts",CHELYABINSK FORGE&,2.51B
CHMF,Basic Materials,Steel,SEVERSTAL,867.22B
CHMK,Basic Materials,Steel,CHELYABINSK MET PL,8.81B
CLSB,Utilities,Electric Utilities,CHELYABINSK POWER,532.29M
CNTL,Telecommunications Services,Integrated Telecommunications Services,CENTRAL TELEGRAPH,3.51B
CNTLP,Telecommunications Services,Integrated Telecommunications Services,CENTRAL TELEGRAPH,3.81B
DASB,Energy,N/A,DAGESTAN ENERGY SU,608.06M
DIOD,Healthcare,Pharmaceuticals,DIOD,418.16M
DVEC,Utilities,Electric Utilities,FAR EASTERN ENERGY,19.68B
DZRD,Industrials,Electrical Components & Equipment,DONSKOY FACTORY OF,779.53M
ELTZ,Basic Materials,Specialty Mining & Metals,ELECTROZINK,340.55M
ENRU,Utilities,Electric Utilities,ENEL RUSSIA,37.83B
FEES,Utilities,Electric Utilities,FSK EES,208.03B
FESH,Industrials,Marine Freight & Logistics,FAR-EASTERN SHIPPI,19.46B
GAZA,Consumer Cyclicals,Auto & Truck Manufacturers,GAZ PUBLIC JOINT,7.93B
GAZP,Energy,Integrated Oil & Gas,GAZPROM,3.62T
GCHE,Consumer Non-Cyclicals,Fishing & Farming,CHERKIZOVO GROUP,69.12B
GMKN,Basic Materials,Specialty Mining & Metals,MMC NORILSK NICKEL,22.94T
HALS,Consumer Cyclicals,Homebuilding,HALS-DEVELOPMENT,8.34B
HYDR,Utilities,Electric Utilities,RUSHYDRO,227.02B
IGST,Basic Materials,Steel,IZHSTAL PAO PUBIC,581.33M
IRAO,Utilities,Electric Utilities,INTER RAO UES,292.66B
IRGZ,Utilities,Electric Utilities,IRKUTSKENERGO,69.96B
IRKT,Industrials,Aerospace & Defense,IRKUT CORPORATION,51.57B
ISKJ,Healthcare,Biotechnology & Medical Research,HUMAN STEM CELLS,691.14M
JNOS,Energy,Oil & Gas Refining and Marketing,SLAVNEFT YAROSLAVN,20.88B
KAZT,Basic Materials,Specialty Chemicals,KUIBYSHEVAZOT,23.92B
KBSB,Utilities,Electric Utilities,TNS ENERGO KUBAN,2.36B
KBTK,Energy,Coal,KUZBASSKAYA TOP CO,20.11B
KCHE,Utilities,Electric Utilities,KAMCHATSKENERGO P,5.88B
KLSB,Utilities,Electric Utilities,KALUGA POWER SALE,895.4M
KMAZ,Industrials,Heavy Machinery & Vehicles,KAMAZ PTC,37.93B
KMEZ,Industrials,Industrial Machinery & Equipment,KOVROV MECHANICAL,1.75B
KOGK,Basic Materials,Steel,KORSHYNOV MINING,13.26B
