;RKKE;VJGZ;MRKY;RASP;LSNGP;GAZP;SNGSP;KUZB;SARE;IRKT;BANEP;NVTK;KMAZ;TATN;LNZL;IGST;PLZL;DIOD;KMEZ;MSTT;YKENP;MRKZ;RZSB;PHOR;UKUZ;CHMF;TRMK;LSRG;ALRS;STSB;NLMK;VTBR;YAKG;ROSN;RTSB;STSBP;CHKZ;USBN;SBERP;LPSB;MGVM;PLSM;HYDR;VZRZP;SNGS;DVEC;SAGO;TANL;RBCM;PAZA;RSTI;KZOS;BELU;MFGSP;LKOH;KUBE;MTSS;VGSB;CLSB;MRSB;MRKS;SVAV;MFON;TGKB;YRSB;NSVZ;MGNZ;CHGZ;WTCM;MAGN;APTK;TASB;RTGZ;MTLR;MISB;TTLK;BANE;MRKP;PRFN;OGKB;LIFE;CNTL;RTKM;NKSH;MRKC;GAZA;UNKL;DASB;JNOS;SBER;PRTK;LVHK;OPIN;KRKN;KTSB;HALS;TGKD;NNSB;RUSP;RUGR;DZRD;KRSB;VSYD;KZOSP;VDSB;TGKN;NKNC;ASSB;RUSI;UNAC;KROT;TGKBP;AQUA;BLNG;MGTS;URKA;RSTIP;ROSB;BSPB;ISKJ;ALNU;TGKDP;KLSB;VZRZ;TGKA;PMSBP;KBTK;SIBN;MRKU;MVID;MGNT;AFLT;MSNG;IRGZ;TUCH;AFKS;ENRU;IRAO;TRCN;MRKK;RLMN;ELTZ;ABRD;VLHZ;LSNG;KCHE;GCHE;RTKMP;LNZLP;AKRN;ARSA;MSRS;ODVA;NFAZ;TRNFP;FESH;TORSP;KOGK;ZILL;PMSB;YKEN;SELG;PIKK;MFGS;CHEP;ZVEZ;ARMD;SZPR;KAZT;MSST;MTLRP;UTAR;GMKN;UPRO;AMEZ;NMTP;CNTLP;VSMO;FEES;CHMK;MRKV;TUZA;MOBB;NKNCP;BRZL;SAREP;KBSB;VRSB;ROST;MGTSP;URKZ;TATNP;TORS;YNDX
RKKE;0;1.39262786;1.351688545;1.337453983;1.377201287;1.318863449;1.365701791;1.37146468;1.378138474;1.381285011;1.410932404;1.344822985;1.353601592;1.376651846;1.395412039;1.415669684;1.396050912;1.367646359;1.390866018;1.364735194;1.412577435;1.368035286;1.395955453;1.352576051;1.380672489;1.337306596;1.380044908;1.367613917;1.352526595;1.373664606;1.37499565;1.344391529;1.41219869;1.34435801;1.406229761;1.397307618;1.4112583;1.408612158;1.354689189;1.417885174;1.360826408;1.389104645;1.368027437;1.410338462;1.359919442;1.406662851;1.365398041;1.405456661;1.380741998;1.403665904;1.318631068;1.400953337;1.407246721;1.374079164;1.363582096;1.395243577;1.367900991;1.412559164;1.371212085;1.404376228;1.402055917;1.399463119;1.357297658;1.353569763;1.401902278;1.443775213;1.392405865;1.432408962;1.421679358;1.350256429;1.356209169;1.405106226;1.404881504;1.30848805;1.414961906;1.368936128;1.373836172;1.341110645;1.38222363;1.31709689;1.404903071;1.41178884;1.385424262;1.389808781;1.341791994;1.342654098;1.389195364;1.418143333;1.402942298;1.352118264;1.381479008;1.394815504;1.41380759;1.39991158;1.377598943;1.407442111;1.335140519;1.390443948;1.425050129;1.405105999;1.410145723;1.411653283;1.418035602;1.364446318;1.397011417;1.372168157;1.352274452;1.394679789;1.441557093;1.384347325;1.411473861;1.386510867;1.360874177;1.354887929;1.403792003;1.357360049;1.34737319;1.3549267;1.334582608;1.393215058;1.392371926;1.328116258;1.399869499;1.413296994;1.325108263;1.366124704;1.352534462;1.332200211;1.357682151;1.377838252;1.357298664;1.357436973;1.34190538;1.307581841;1.381987936;1.388457617;1.374731604;1.36962367;1.384164935;1.318433191;1.405769272;1.391430979;1.412820605;1.408260543;1.344642068;1.419256866;1.38105219;1.353244921;1.407732394;1.359765097;1.394490913;1.356114118;1.390591302;1.38831064;1.4175847;1.379898462;1.39617373;1.411573944;1.412934212;1.384789209;1.425608657;1.369349386;1.423414558;1.405525822;1.418716659;1.380101927;1.405015884;1.382260531;1.396755113;1.408142587;1.320671622;1.362809897;1.315160126;1.365723593;1.351006056;1.356024958;1.424147745;1.39229981;1.338952656;1.353885841;1.359236876;1.394779889;1.390698481;1.329729249;1.36818364;1.403644745;1.347659449;1.430990773;1.342349734;1.392051832;1.365607717;1.355561716;1.401792056;1.366200945
VJGZ;1.39262786;0;1.413939756;1.44155314;1.393244441;1.420930142;1.419815441;1.444254431;1.405798211;1.385971131;1.403660294;1.41889992;1.433016342;1.405127623;1.382498232;1.410503111;1.405387345;1.422488962;1.435645128;1.437930238;1.4175098;1.435573841;1.431833962;1.437316565;1.407332738;1.424844293;1.433224619;1.417847738;1.434829008;1.423266524;1.450333558;1.391649808;1.380186653;1.411048409;1.412888759;1.425197061;1.429301234;1.405814763;1.382082515;1.414823757;1.415287432;1.446803812;1.414390944;1.41802463;1.411969375;1.427906116;1.430895552;1.371024185;1.404913676;1.411694627;1.420968268;1.380298878;1.430892059;1.435618238;1.429448266;1.424310394;1.390152222;1.4121635;1.435470688;1.396916956;1.401849717;1.420064116;1.420496334;1.422998982;1.403347776;1.396459778;1.436857134;1.393934808;1.41321587;1.433757769;1.402387047;1.417799565;1.434746786;1.437834682;1.407283807;1.402550633;1.401373035;1.408886136;1.427618662;1.414764425;1.407559234;1.413137479;1.391202077;1.430380821;1.404920692;1.434310125;1.379941967;1.429014579;1.412919207;1.389160951;1.443940032;1.446349728;1.416717513;1.392806557;1.434236484;1.417395444;1.432254143;1.418568224;1.397188568;1.429820565;1.417805365;1.408333613;1.402829387;1.423224009;1.421649634;1.428285347;1.415662143;1.396548259;1.422666429;1.403262074;1.399459192;1.420145358;1.45721929;1.39794716;1.432008233;1.400069021;1.398110681;1.413551041;1.380441904;1.403501295;1.41627378;1.433240206;1.398767665;1.403098784;1.447923721;1.456427088;1.433360094;1.392487685;1.432137673;1.407273844;1.403293902;1.438520601;1.411704901;1.417976393;1.398229122;1.409119983;1.408694784;1.414471742;1.375237099;1.422095359;1.389435997;1.417363387;1.374731114;1.423418355;1.415363489;1.401582648;1.386366857;1.415430885;1.394126516;1.410250997;1.387364353;1.439669949;1.398846517;1.414994172;1.412783835;1.449893111;1.380675715;1.375720191;1.421664233;1.464028165;1.417529172;1.436330223;1.431054216;1.412442646;1.435497657;1.423513289;1.411085837;1.394220921;1.380247556;1.373381285;1.432805255;1.413483832;1.426653554;1.377705164;1.411838936;1.4210494;1.428425857;1.414261813;1.437504083;1.39076924;1.413089758;1.425502394;1.424074763;1.411409173;1.407327426;1.404625688;1.402819951;1.416517261;1.393490036;1.415759576;1.440603427;1.376280028;1.387432862;1.425336513
MRKY;1.351688545;1.413939756;0;1.253513905;1.314401618;1.262938233;1.332628149;1.369459415;1.375776835;1.366564487;1.345346946;1.302198996;1.321566699;1.304021196;1.333986282;1.357532406;1.369303277;1.377691119;1.369398633;1.315682361;1.373834513;1.134962957;1.392548692;1.361331676;1.325181907;1.321112447;1.278898219;1.279878076;1.345186728;1.365026687;1.325750689;1.265074155;1.391586725;1.302652793;1.362957189;1.363085428;1.387675702;1.355486118;1.261236659;1.406626977;1.344850823;1.399549436;1.249576776;1.38052659;1.297945211;1.334660343;1.373537657;1.384702823;1.280579585;1.384360165;1.167170207;1.36480867;1.369095697;1.374842455;1.29664828;1.356643349;1.289050835;1.400890932;1.399212477;1.355685036;1.2720181;1.314124948;1.325228205;1.314709529;1.406864644;1.429227352;1.336777699;1.383121194;1.40295219;1.278304561;1.290960162;1.402548117;1.392790692;1.269599975;1.41925766;1.314862566;1.357416737;1.210694838;1.363397607;1.2014161;1.333116199;1.410288364;1.294979163;1.39095758;1.184138236;1.332442642;1.385005023;1.350806455;1.402524415;1.235008358;1.337832889;1.387859406;1.320393303;1.388267108;1.375800753;1.369488059;1.350375609;1.392602252;1.378696114;1.353545007;1.361260815;1.3887487;1.427296263;1.386851931;1.392541246;1.335177573;1.308082624;1.383767688;1.390087382;1.319571487;1.333443594;1.334633809;1.36497731;1.302934437;1.431454002;1.326110786;1.226125572;1.333035262;1.266426314;1.337772666;1.39533743;1.322182154;1.378851511;1.375157082;1.24590641;1.374102462;1.361122628;1.282857753;1.228487992;1.333060862;1.285215047;1.277997638;1.234824578;1.319434843;1.348727276;1.315960808;1.300829826;1.305411528;1.389161579;1.191352095;1.37439995;1.360105662;1.388359225;1.358892553;1.224813157;1.401454795;1.345677734;1.276044226;1.360068029;1.315759904;1.340722985;1.212714505;1.339795382;1.383132247;1.387504406;1.322328954;1.298126364;1.392194524;1.36824308;1.347561011;1.348496674;1.361540959;1.380227403;1.400797995;1.405148513;1.382016003;1.316245254;1.386347182;1.414063329;1.430436673;1.272500853;1.311459692;1.338052379;1.34023962;1.343800357;1.351330764;1.359985522;1.367734975;1.21288412;1.327801984;1.220050203;1.404775386;1.399331477;1.299262815;1.355883829;1.334353138;1.36064017;1.420573639;1.325048154;1.390992379;1.372532318;1.290812615;1.366950362;1.319140445
RASP;1.337453983;1.44155314;1.253513905;0;1.297342648;1.128519441;1.265585303;1.352846299;1.367778542;1.288495006;1.265635463;1.195912897;1.241936821;1.252462317;1.285189547;1.345069768;1.268448135;1.321158999;1.332544854;1.24328667;1.355998608;1.238326882;1.314489304;1.263022043;1.283871292;1.202111236;1.223273712;1.250341481;1.243135574;1.331197435;1.184337419;1.161645671;1.35779168;1.190415694;1.39034739;1.319298003;1.397693003;1.300703521;1.119553663;1.419127041;1.325016029;1.375170647;1.166761937;1.300652207;1.195263937;1.32852479;1.356552423;1.378642795;1.18977799;1.39419215;1.097149374;1.379033498;1.351335324;1.311331045;1.19207296;1.309722255;1.194888511;1.385051745;1.348462847;1.336409156;1.311840764;1.264981472;1.217819166;1.291004859;1.397431519;1.404141884;1.356480978;1.399331591;1.397778473;1.134900281;1.236053333;1.360551482;1.339113031;1.028483132;1.381588656;1.353246342;1.287912737;1.229494598;1.368176591;1.093730636;1.31624243;1.359583883;1.25088913;1.374810834;1.216280113;1.294416124;1.321431389;1.311052795;1.361841274;1.087022016;1.287180308;1.371937954;1.329226247;1.392117669;1.36883799;1.369845663;1.289300099;1.43158749;1.367012003;1.3155342;1.356617713;1.370772924;1.415241394;1.321055968;1.375499385;1.379079116;1.257246823;1.377880099;1.39862873;1.268339391;1.279101912;1.306485866;1.309695181;1.140091383;1.371381423;1.333193127;1.175150017;1.324807642;1.161898202;1.310734707;1.372315626;1.303488138;1.364716734;1.320251763;1.194016612;1.34570823;1.289157952;1.202622295;1.258572293;1.273560206;1.263682987;1.181522575;1.136448295;1.220399079;1.288855609;1.261339564;1.243852903;1.177403817;1.343123104;1.23287383;1.348531349;1.333187928;1.37648047;1.29619156;1.227381455;1.401404044;1.28540805;1.232090274;1.296641428;1.229192903;1.32341366;1.24187215;1.309132392;1.360260704;1.315284729;1.283454041;1.315371636;1.372137723;1.367549233;1.337722023;1.340360329;1.331900152;1.362638039;1.386235818;1.383223747;1.384446934;1.314193432;1.347270842;1.406113736;1.421692815;1.06464115;1.344199374;1.221700511;1.263383943;1.286282113;1.268430003;1.292340151;1.275551533;1.12444805;1.224792682;1.230241993;1.403068256;1.350236117;1.233129897;1.348814916;1.349435252;1.388497439;1.444078706;1.326274559;1.370536554;1.356972758;1.260763549;1.362192767;1.252162085
LSNGP;1.377201287;1.393244441;1.314401618;1.297342648;0;1.300075768;1.337564383;1.378845308;1.380982707;1.320832684;1.340369683;1.329375265;1.330071455;1.308451637;1.340352561;1.381732839;1.357875907;1.362420905;1.370661014;1.33244479;1.364608928;1.338223159;1.34585114;1.374961752;1.374231141;1.321952705;1.337208264;1.32939882;1.340352483;1.3664322;1.334649507;1.289238726;1.392919956;1.326053845;1.403962811;1.371210404;1.407964749;1.372152151;1.249287644;1.429136214;1.376619337;1.397765495;1.299438382;1.34064191;1.322901058;1.354691539;1.371097627;1.394784221;1.334881357;1.405890951;1.260671859;1.400416921;1.377447293;1.374055406;1.313831928;1.370164456;1.277648187;1.409910471;1.371567468;1.373215238;1.383240199;1.331221145;1.309678185;1.346658768;1.401376266;1.433737929;1.370614394;1.411941878;1.342668349;1.302742679;1.326379385;1.388544302;1.369122436;1.34403705;1.355008251;1.359331611;1.358354414;1.303438873;1.379490481;1.294303022;1.378090897;1.377704875;1.315554002;1.374463902;1.276850447;1.367591533;1.373427839;1.345180598;1.37828549;1.265697516;1.350236336;1.384012125;1.360550537;1.386947285;1.38901026;1.408410016;1.365481975;1.37952271;1.374956651;1.378876393;1.339353716;1.37258576;1.402414036;1.38432021;1.416914789;1.402629649;1.329930896;1.384931707;1.404870834;1.362042404;1.346446571;1.355231702;1.341433586;1.323312676;1.407862212;1.351726467;1.296952419;1.350109957;1.304058447;1.367787098;1.380340875;1.336601603;1.390838038;1.387653899;1.266274382;1.398486729;1.358911979;1.300418772;1.283644622;1.353346184;1.338741629;1.312077522;1.270332622;1.337907517;1.370568701;1.333589943;1.312389909;1.316559036;1.338995973;1.357247704;1.395630924;1.350901156;1.406041144;1.376534599;1.166971583;1.400664268;1.352279152;1.266167625;1.380080093;1.355388723;1.401544801;1.33181155;1.387515207;1.372977219;1.398082205;1.370204757;1.334386851;1.430895479;1.385485631;1.377928022;1.364014735;1.377671896;1.380564485;1.391840202;1.382563082;1.375249389;1.372268648;1.411113558;1.383116842;1.383637839;1.33944062;1.384714688;1.3226918;1.347616911;1.34606811;1.347636346;1.379735827;1.343344705;1.263085452;1.321784578;1.256936641;1.36979614;1.36024679;1.304628211;1.398373155;1.386882506;1.384405534;1.417825005;1.377205203;1.381750159;1.390736158;1.294567186;1.363882243;1.345229004
GAZP;1.318863449;1.420930142;1.262938233;1.128519441;1.300075768;0;1.160647134;1.376018759;1.352180087;1.267831839;1.275292449;1.016703309;1.257183757;0.999405039;1.309673637;1.391010389;1.289845017;1.33593377;1.358439468;1.225626914;1.361518928;1.242386872;1.338047227;1.227498899;1.332295127;1.108087206;1.199334566;1.185242739;1.177956366;1.358151649;1.113542936;1.075707598;1.377184818;0.896933007;1.385098992;1.350712128;1.424732536;1.322357145;0.985252873;1.40063959;1.359090143;1.32894441;1.118775118;1.334915277;1.012161931;1.342383867;1.358434987;1.40076249;1.251743074;1.396472159;1.107331983;1.364727501;1.359390844;1.279122179;0.908511617;1.324936931;1.048274364;1.399340916;1.356223401;1.359175917;1.308187484;1.233104582;1.182539995;1.293559442;1.371285522;1.417020347;1.35133576;1.409454104;1.354542151;1.14077453;1.241192347;1.393867724;1.376637064;1.178268786;1.418832015;1.271770012;1.247778154;1.281231246;1.412369771;1.125625621;1.324693541;1.317088855;1.103127664;1.375293955;1.226597675;1.287436334;1.361141264;1.361459393;1.361206438;0.919252828;1.286453154;1.377921153;1.332670054;1.382265668;1.393305432;1.376940612;1.337753747;1.405514422;1.367861474;1.349359385;1.358663461;1.386051961;1.41834119;1.354338775;1.391179635;1.336951638;1.284824962;1.416020364;1.400646533;1.291731526;1.354079332;1.324564908;1.310743869;1.26557385;1.372935439;1.258920064;1.212412526;1.331771017;1.182014065;1.319392773;1.337419575;1.350279348;1.353474763;1.34080646;1.189077444;1.354796606;1.317770306;1.08763232;1.29907753;1.280162572;1.162361774;1.195881487;1.172705478;1.269435531;1.302273762;1.195024028;1.220734158;1.185959789;1.35347403;1.265392435;1.409953329;1.328084997;1.38973403;1.332490918;1.256706664;1.405534747;1.317207905;1.160135987;1.349635764;1.201390204;1.359312986;1.20600055;1.32642907;1.391738761;1.251964893;1.285544672;1.313363107;1.376270731;1.342880875;1.357812116;1.375601705;1.337550399;1.301963469;1.388391753;1.408130964;1.382673836;1.320434045;1.364807793;1.384521921;1.393915161;1.181162132;1.323854474;1.095652919;1.186207146;1.286383075;1.284120142;1.335658208;1.289491047;1.121078246;1.270637252;1.272469063;1.381000543;1.33187934;1.25389002;1.365124002;1.358074968;1.386839212;1.405495351;1.298895514;1.336739156;1.382248413;1.131778547;1.370598692;1.176091638
SNGSP;1.365701791;1.419815441;1.332628149;1.265585303;1.337564383;1.160647134;0;1.39174758;1.349328072;1.286456887;1.29342844;1.192460429;1.301552407;1.151023363;1.353920746;1.391855049;1.279065868;1.373333309;1.388489206;1.303205792;1.357999769;1.325088235;1.351145647;1.277414729;1.344596629;1.231754019;1.284537895;1.269691243;1.248336977;1.371960432;1.235853707;1.219708714;1.36966458;1.202837267;1.385392542;1.38507881;1.425531645;1.345612685;1.174681168;1.436587639;1.375495547;1.359982203;1.240943975;1.349299249;0.968552222;1.386745404;1.34792253;1.382457971;1.28972997;1.385475617;1.249717595;1.369901839;1.357170935;1.34010117;1.191908597;1.368162797;1.198688577;1.394588435;1.362493381;1.349704488;1.36131387;1.292419855;1.276370993;1.314207233;1.398468494;1.360419829;1.363538187;1.392477525;1.384521909;1.211884733;1.303192258;1.376123098;1.399921387;1.310712858;1.404301854;1.287114138;1.252631313;1.327011477;1.3696954;1.233711985;1.352552872;1.340028632;1.275632455;1.355473575;1.315318327;1.37096234;1.37123782;1.381783366;1.385124606;1.19296142;1.305918757;1.399163521;1.368898051;1.389071008;1.383567273;1.386643808;1.362978655;1.398926697;1.388554128;1.374915915;1.363719943;1.369452316;1.437006094;1.360560515;1.388234889;1.402454444;1.303407071;1.401498996;1.38330652;1.291663845;1.345234398;1.373464789;1.361592563;1.322882152;1.395339456;1.271453207;1.276648711;1.317728291;1.263094948;1.33729605;1.398335651;1.351508726;1.368350147;1.358318576;1.27771232;1.363631521;1.355987441;1.246806047;1.316293331;1.305272847;1.251673291;1.263392909;1.272636511;1.317676934;1.345417967;1.248390211;1.288691635;1.283871893;1.386718215;1.317259836;1.35965163;1.361205115;1.381811342;1.352788383;1.300257143;1.399665369;1.337332542;1.247122786;1.355269709;1.268929181;1.368393847;1.329299408;1.348354289;1.388598985;1.270633376;1.324153729;1.355579695;1.401668446;1.359286977;1.345511358;1.397237021;1.350572432;1.37525005;1.393742775;1.408219598;1.375586614;1.323911192;1.373862955;1.385676759;1.399187719;1.325388819;1.346055667;1.211711777;1.256441689;1.318067942;1.361094837;1.348460912;1.300251071;1.275776006;1.297821933;1.314169896;1.407160673;1.392765495;1.282414707;1.383402728;1.346666389;1.364962225;1.365424701;1.357995978;1.376908967;1.379970494;1.189706865;1.390038809;1.282697565
KUZB;1.37146468;1.444254431;1.369459415;1.352846299;1.378845308;1.376018759;1.39174758;0;1.372103296;1.397591827;1.384412747;1.372226743;1.3839133;1.364532064;1.386699051;1.393080371;1.417292557;1.344312181;1.406532515;1.365755422;1.409020517;1.366021688;1.371569854;1.395227076;1.375386011;1.369822604;1.407187567;1.371972383;1.394833322;1.375299839;1.383752532;1.353668195;1.391841377;1.378843199;1.409092223;1.37382802;1.366044452;1.369904719;1.355615754;1.416895183;1.38618392;1.376752392;1.360857614;1.403135752;1.372527397;1.363382531;1.391818359;1.426252186;1.381127881;1.417351509;1.357097098;1.389918993;1.405203503;1.398145322;1.354655672;1.383683109;1.383653437;1.393274171;1.374949561;1.430213588;1.387679077;1.402762221;1.362437373;1.369412238;1.401192358;1.390347871;1.39883011;1.385076825;1.399242771;1.393557539;1.36422668;1.402402119;1.410539445;1.373246481;1.409774059;1.387809791;1.41446268;1.390607133;1.427206388;1.376559312;1.371194221;1.39154237;1.380467653;1.406465912;1.357993915;1.396027456;1.425925862;1.38610349;1.375308963;1.354480745;1.384738602;1.407105184;1.368132358;1.416343203;1.400651707;1.38414295;1.392178407;1.370333394;1.386657018;1.390484582;1.393592522;1.390683994;1.408868121;1.401589536;1.438107265;1.386939462;1.411079166;1.389287089;1.418392379;1.366618519;1.410416472;1.376540535;1.378479988;1.414247999;1.372807896;1.390205452;1.338734721;1.395172545;1.365342429;1.36608312;1.406895602;1.403068259;1.42566684;1.427286323;1.35274389;1.372758048;1.410648386;1.385210325;1.375468933;1.415150783;1.369946549;1.381912389;1.370441273;1.382462084;1.394970068;1.401367392;1.383189469;1.373741343;1.411495188;1.354968343;1.408384643;1.420821926;1.408963358;1.367081463;1.356069973;1.44543;1.383227951;1.350630802;1.402653367;1.413430641;1.346957783;1.362921474;1.364273926;1.397297881;1.408562386;1.380164435;1.386585902;1.456505005;1.389524202;1.392691071;1.414738111;1.423950351;1.407406498;1.409687069;1.411650115;1.407349186;1.404766476;1.411109811;1.402495671;1.409848815;1.380874959;1.409772078;1.344626826;1.370551921;1.389432266;1.358875759;1.384716773;1.373670786;1.342099294;1.394604682;1.401127919;1.400757226;1.32874799;1.380355017;1.374317034;1.357584026;1.401667048;1.399632974;1.423525742;1.390639026;1.413837918;1.402934602;1.385898777;1.373838246
SARE;1.378138474;1.405798211;1.375776835;1.367778542;1.380982707;1.352180087;1.349328072;1.372103296;0;1.410077952;1.375845784;1.369829217;1.391811275;1.364297088;1.404502617;1.409089789;1.373284342;1.390610073;1.395618171;1.375660605;1.408033402;1.374446774;1.36354708;1.401577772;1.38592166;1.3768061;1.381673396;1.371505756;1.348041662;1.320037819;1.377710888;1.376290836;1.392167895;1.370380755;1.412191941;1.364306364;1.430226299;1.397530925;1.34881596;1.431342095;1.427598095;1.385522422;1.345736953;1.394730836;1.339015443;1.430289909;1.358387791;1.417356677;1.379249979;1.395771778;1.320202695;1.382788985;1.419285393;1.378797995;1.367639516;1.365444282;1.35326582;1.401965707;1.388559327;1.372768718;1.341344166;1.385228133;1.382791769;1.360987005;1.409542949;1.442225033;1.411251765;1.404572886;1.376412114;1.382509512;1.378170877;1.350084744;1.389171975;1.401660296;1.403457078;1.39130961;1.387744217;1.352312202;1.445945185;1.352078173;1.39350509;1.366663444;1.341390166;1.382277388;1.34893453;1.367834667;1.388488846;1.385587402;1.385398037;1.357175034;1.368111769;1.410855201;1.382238481;1.396410469;1.38827659;1.419344064;1.378911935;1.452794153;1.389735295;1.418284348;1.400685072;1.402577208;1.39991512;1.379290848;1.408201323;1.368772148;1.365571875;1.387636284;1.382592366;1.415664186;1.365109673;1.386279197;1.376226529;1.374973831;1.384276725;1.414200806;1.337373642;1.403634151;1.34333189;1.36458119;1.429155259;1.389947707;1.376521404;1.405898425;1.355091814;1.410159892;1.375509162;1.344478043;1.34314492;1.359177821;1.350354005;1.356728955;1.350785882;1.364856384;1.387237685;1.378934101;1.391542927;1.361084756;1.374702783;1.375995485;1.397299449;1.408057238;1.445184282;1.406750453;1.34377569;1.356363908;1.408929726;1.328211122;1.374665616;1.385586942;1.373786795;1.363193614;1.367730312;1.409351264;1.39977654;1.401222957;1.402418368;1.404792673;1.402747499;1.37677062;1.3978763;1.420196255;1.403608728;1.408431469;1.432207827;1.397558196;1.412661861;1.398204453;1.408399383;1.416887884;1.389059647;1.392840822;1.35709197;1.373408337;1.377078759;1.360881152;1.359094169;1.384541524;1.335721285;1.350035535;1.393635106;1.397117138;1.405885725;1.368897523;1.403440593;1.07648126;1.404492579;1.387841657;1.381484933;1.419159287;1.3638248;1.38270729;1.389625157;1.399740478
IRKT;1.381285011;1.385971131;1.366564487;1.288495006;1.320832684;1.267831839;1.286456887;1.397591827;1.410077952;0;1.366278041;1.275580352;1.338258904;1.296390514;1.373392356;1.39534492;1.402647224;1.361488091;1.394918581;1.304396242;1.368602671;1.329217511;1.372289319;1.339449257;1.404309634;1.310258704;1.320809579;1.31867197;1.309707194;1.352929949;1.304143213;1.253850283;1.402804798;1.268641432;1.383231013;1.368773335;1.420174273;1.364676959;1.255300941;1.394910957;1.363789011;1.40223584;1.291493363;1.373755585;1.290185179;1.360009492;1.407854411;1.406745984;1.289032921;1.36770338;1.277599295;1.389515947;1.403130077;1.337997953;1.296870498;1.352360266;1.30015836;1.402347787;1.380905188;1.393194242;1.357272807;1.291988199;1.318658074;1.328802773;1.409380461;1.385286652;1.355886773;1.417939384;1.359219676;1.286088576;1.301041307;1.363586544;1.386778797;1.310103088;1.377153856;1.319504245;1.369352432;1.329204208;1.407698187;1.260706873;1.363052681;1.33840707;1.319962641;1.40530302;1.29359055;1.33615924;1.368800757;1.388898349;1.373208447;1.250830746;1.307049947;1.364767548;1.371354793;1.415154716;1.37953911;1.388822477;1.324154266;1.40256839;1.356238263;1.359697067;1.376776441;1.376419633;1.399320364;1.368860806;1.381656082;1.369153167;1.327550568;1.383626815;1.424841228;1.140755435;1.358260057;1.37721047;1.372272935;1.327640746;1.3939867;1.351910619;1.33751205;1.372899216;1.273150794;1.321152581;1.344684634;1.311281588;1.436918519;1.329082688;1.32736952;1.369011857;1.399816222;1.307879659;1.343569417;1.370532182;1.310131537;1.320310973;1.3003925;1.285151087;1.348400982;1.332356661;1.295043038;1.319054656;1.351202192;1.315793085;1.388212092;1.374700134;1.393002806;1.378888455;1.314295457;1.424818182;1.329852156;1.271142086;1.381728045;1.301217905;1.39729578;1.31226567;1.333726805;1.385357171;1.35257068;1.306835036;1.354579824;1.414046039;1.361153036;1.351912766;1.362650766;1.392117937;1.369746003;1.39501646;1.393736307;1.38425974;1.355659068;1.352946283;1.378736085;1.402728465;1.311639092;1.363154975;1.313332049;1.324671801;1.331441413;1.358989672;1.368449835;1.305854755;1.285091123;1.334902332;1.319694251;1.396905046;1.370673409;1.288806121;1.361605263;1.377472514;1.402280164;1.441924698;1.358024242;1.378729747;1.399292417;1.301102799;1.377745712;1.327539044
