;SNGSP;TANL;RASP;NNSB;TGKA;UNAC;CHMF;ALNU;NVTK;KCHE;GAZA;ENRU;RTGZ;ASSB;IRGZ;MRKC;RSTIP;BRZL;DVEC;AMEZ;TORSP;KZOSP;PMSB;UPRO;AQUA;NKNC;LSNG;TGKB;TATNP;APTK;MGVM;MTLR;MSNG;HALS;FESH;VLHZ;CNTLP;UKUZ;SELG;VGSB;IRKT;LKOH;KROT;MFGS;MRKK;NSVZ;URKZ;PIKK;VSYD;YRSB;CHKZ;RBCM;PLZL;CLSB;KZOS;CHGZ;OPIN;KOGK;GCHE;MSTT;TTLK;MRKP;MGNZ;GMKN;VDSB;YKEN;IGST;WTCM;RTKM;PRFN;MTLRP;ROST;SZPR;MISB;PLSM;VJGZ;TGKD;ODVA;RTSB;PMSBP;KRSB;TATN;VRSB;RTKMP;ABRD;ELTZ;RLMN;MSRS;MRKZ;RSTI;UTAR;YKENP;ZILL;AFKS;STSBP;MFON;STSB;VSMO;BANE;CHEP;TUCH;LNZLP;FEES;DIOD;PHOR;MGTS;RKKE;MFGSP;OGKB;BELU;SNGS;MRSB;RUSP;PAZA;SAGO;AKRN;MGNT;MGTSP;NKSH;MRKU;CNTL;ALRS;MOBB;SIBN;SARE;NKNCP;RUSI;ARMD;MVID;LSRG;BSPB;KAZT;SVAV;VZRZP;MRKY;KLSB;LPSB;USBN;NMTP;IRAO;KTSB;RUGR;YAKG;BLNG;KMAZ;MTSS;GAZP;KUZB;LNZL;NLMK;LVHK;MAGN;KRKN;LIFE;NFAZ;TRCN;TORS;ISKJ;DZRD;SBERP;TRMK;VZRZ;TGKDP;LSNGP;VTBR;AFLT;ROSN;TUZA;KBTK;PRTK;URKA;TGKBP;MRKS;KUBE;BANEP;SAREP;ZVEZ;KBSB;TASB;RZSB;TGKN;HYDR;KMEZ;JNOS;CHMK;MSST;SBER;ARSA;DASB;UNKL;TRNFP
SNGSP;0;1.383668463;1.2635874;1.399828283;1.275945591;1.289635207;1.225457343;1.398227828;1.187625999;1.405233812;1.372586827;1.289930776;1.398553522;1.404533007;1.31554174;1.312403897;1.270785246;1.392330518;1.385546207;1.314200742;1.357015627;1.356131202;1.345343006;1.250332168;1.363113583;1.311178057;1.303241693;1.31241024;1.178796176;1.310196291;1.369031202;1.29689747;1.268839526;1.379075651;1.321161249;1.337330553;1.350451002;1.349061075;1.347039422;1.39452134;1.283481715;1.191207074;1.345888641;1.390831469;1.313500448;1.367225208;1.382584716;1.380998962;1.430830527;1.398767573;1.41962468;1.291707439;1.286420647;1.364232717;1.361466702;1.391611622;1.366241708;1.402926289;1.342551551;1.301260459;1.295881521;1.312644663;1.368231869;1.202983624;1.375690929;1.379302027;1.393603411;1.388977883;1.26711985;1.37379805;1.316736191;1.350797948;1.374706003;1.409751254;1.364451534;1.424911238;1.370809635;1.338829298;1.383668891;1.359995265;1.369374528;1.132685788;1.370668225;1.249077691;1.37689057;1.36212986;1.362003916;1.327938994;1.319267463;1.245571904;1.336687237;1.366124811;1.359695397;1.244198048;1.379669;1.278705301;1.366499581;1.305815334;1.246686204;1.402453695;1.343326197;1.35477387;1.267883995;1.369518979;1.285008314;1.403743817;1.376575899;1.33800106;1.231325432;1.34848699;0.960839296;1.340565697;1.368489765;1.380689798;1.349882818;1.259279913;1.248968782;1.374651794;1.364634782;1.319698851;1.343441022;1.255476321;1.399215396;1.237838007;1.362624956;1.288627202;1.388842794;1.323832125;1.295177218;1.266356604;1.258861364;1.392485044;1.295001819;1.338946349;1.324678147;1.372638934;1.438118567;1.342153086;1.360288235;1.277480677;1.387149162;1.371431776;1.373392825;1.315444556;1.299018998;1.199141358;1.151794815;1.398702487;1.356798259;1.227903369;1.40387145;1.204351847;1.393323066;1.356941089;1.390428185;1.391939765;1.394041655;1.342111109;1.348389493;1.170337696;1.280572261;1.350371146;1.352873066;1.336237934;1.208834688;1.258482755;1.193481232;1.409562606;1.360071669;1.303594144;1.269716588;1.373196494;1.364960277;1.367656287;1.280480609;1.353583309;1.378766826;1.369213434;1.378001857;1.340550321;1.395209957;1.235339669;1.384197865;1.386649188;1.30792788;1.401265431;1.192406392;1.36189894;1.373293242;1.371590823;1.26478424
TANL;1.383668463;0;1.381435582;1.385717832;1.382629895;1.416627592;1.403873078;1.401912886;1.410111536;1.401171408;1.391516385;1.39157939;1.432361489;1.40141614;1.390639234;1.403491542;1.399397738;1.408559292;1.421142044;1.397054398;1.395661733;1.365307527;1.410533669;1.400719451;1.408519716;1.402122448;1.407498891;1.387509537;1.379382613;1.413137833;1.423426377;1.358219646;1.385720621;1.404362145;1.390552061;1.412438421;1.407482763;1.379451638;1.402374764;1.398210729;1.404059148;1.416779096;1.392602085;1.427207231;1.404755015;1.410540816;1.38143632;1.398399212;1.407893042;1.431648881;1.412947618;1.410863174;1.39375784;1.424126009;1.420750238;1.413117787;1.396748854;1.409079243;1.402815946;1.425274721;1.407064021;1.402466101;1.39451269;1.410935605;1.361348403;1.429772868;1.40909874;1.386348558;1.389647603;1.387403751;1.353184316;1.404816921;1.413730269;1.394847997;1.4067745;1.37738146;1.40548534;1.411699436;1.409741768;1.375556548;1.413325201;1.416185748;1.414370372;1.407249151;1.399944428;1.366569739;1.400735868;1.412334703;1.404499296;1.411581911;1.400402179;1.43116192;1.41691385;1.393840773;1.400838103;1.419434395;1.414911219;1.37329723;1.369074597;1.431095061;1.370704841;1.369227854;1.418352836;1.39897295;1.374245927;1.415797305;1.406074857;1.412894057;1.401343543;1.421055665;1.378694941;1.375362012;1.375348576;1.393215872;1.416985625;1.40371858;1.416174668;1.424535575;1.40579656;1.395214972;1.3962163;1.385691424;1.424438191;1.407127605;1.413878044;1.386446843;1.409221785;1.391361463;1.38347102;1.379960876;1.404496502;1.445944103;1.389044688;1.401063982;1.383019206;1.43194272;1.372518051;1.437187316;1.409047465;1.402026734;1.405524703;1.366793273;1.431785222;1.378670999;1.389445375;1.383050024;1.403452552;1.414348152;1.374970514;1.410411149;1.409503649;1.379562858;1.426763796;1.398327869;1.427564723;1.376049033;1.399584098;1.407570477;1.406720672;1.390028355;1.404505179;1.393074468;1.404095582;1.393214774;1.396415195;1.39670226;1.399693449;1.44785267;1.406828649;1.398158245;1.406583356;1.409782373;1.413369534;1.403610279;1.382555297;1.412238061;1.401555794;1.415711709;1.400064413;1.395863496;1.418747245;1.400919691;1.389558159;1.416438638;1.401257754;1.407354235;1.396411094;1.416952256;1.389154564;1.382481756;1.391115989
RASP;1.2635874;1.381435582;0;1.429400969;1.185619334;1.260177157;1.17868609;1.373878825;1.189086277;1.40061307;1.302339571;1.246190932;1.341345671;1.377561275;1.218351598;1.211982984;1.160730542;1.347786775;1.324385703;1.269414947;1.312719109;1.322779327;1.341949676;1.249523092;1.307601278;1.255711839;1.215924445;1.29122015;1.250404544;1.227496218;1.322139333;1.020327831;1.127021453;1.361985934;1.284529838;1.293859195;1.300269515;1.296903982;1.335147266;1.382147716;1.2851295;1.186352444;1.293210308;1.381261444;1.231382655;1.397612888;1.363333753;1.363191415;1.424407769;1.406741973;1.401348834;1.179406094;1.2626026;1.346426423;1.358556148;1.40081003;1.330692868;1.370572333;1.283890677;1.244578685;1.351941426;1.21439033;1.360586717;1.214234461;1.380681493;1.335675364;1.356279279;1.399566505;1.249568608;1.371630295;1.056734202;1.313893427;1.350662677;1.379292418;1.378354362;1.436234644;1.291434895;1.306608551;1.385766663;1.342879;1.377759814;1.240574825;1.451171581;1.230107435;1.373476105;1.333788154;1.351422353;1.244217834;1.232789361;1.086264949;1.33739421;1.35861056;1.365807186;1.262663953;1.313848994;1.216987173;1.337490585;1.279487248;1.276506459;1.36755744;1.287937863;1.302077776;1.10684671;1.32437935;1.268268763;1.375355756;1.341194645;1.310525522;1.082916658;1.341941403;1.190108014;1.337351063;1.364144006;1.391586213;1.349279584;1.221777921;1.259163502;1.364048473;1.381706977;1.261600267;1.355408694;1.24866649;1.35611852;1.199769388;1.378961356;1.23502341;1.403135385;1.309866053;1.272475569;1.249725335;1.152710504;1.407490895;1.261831677;1.29928937;1.242042865;1.369100015;1.415106531;1.307606091;1.27449917;1.161931271;1.37901865;1.323549943;1.353717783;1.139377551;1.242035789;1.193025266;1.121975627;1.35641921;1.294041713;1.164104524;1.377842364;1.110631613;1.401624325;1.324232506;1.359804791;1.348897711;1.362931549;1.312827643;1.352176909;1.116192247;1.219827321;1.30632251;1.313470978;1.295275049;1.153379797;1.175537885;1.186682779;1.400253815;1.298799693;1.284345002;1.320711417;1.310257497;1.313545035;1.307908561;1.257189046;1.343694306;1.387392956;1.387753954;1.362562489;1.317053941;1.372236389;1.149144745;1.337391497;1.360381774;1.218860925;1.424803693;1.090399064;1.316622583;1.311615167;1.321758385;1.300492612
NNSB;1.399828283;1.385717832;1.429400969;0;1.396706599;1.384409377;1.425872228;1.394683579;1.402106566;1.4248074;1.395470443;1.414748393;1.386036501;1.409257529;1.391635688;1.370456429;1.403271555;1.383542692;1.40573611;1.389217122;1.404053611;1.393667605;1.400030758;1.419733484;1.412774632;1.417840831;1.400608456;1.416412972;1.432705639;1.382071432;1.386911007;1.400788313;1.400807671;1.403180296;1.380625561;1.393112686;1.402311907;1.394665802;1.395717725;1.40476592;1.401021615;1.404306176;1.41985473;1.407912487;1.406097853;1.411889116;1.405536838;1.417527511;1.401397181;1.358792149;1.412610713;1.397156231;1.395227323;1.394367838;1.432555345;1.413190077;1.401466266;1.373635091;1.378331555;1.387857147;1.373212232;1.405821546;1.414719715;1.408559093;1.385167242;1.398988475;1.406273533;1.460242009;1.429563459;1.388288073;1.39810274;1.409744344;1.405485347;1.372785646;1.416406313;1.422817815;1.453218227;1.408048862;1.310906067;1.390423192;1.395987532;1.400060273;1.365757245;1.446205036;1.412310294;1.448745179;1.432571902;1.363200836;1.404371371;1.406062369;1.389616158;1.389854523;1.421696979;1.37530794;1.40614266;1.421394278;1.391526964;1.433798634;1.42020892;1.45364429;1.404155063;1.392714321;1.388217192;1.407636822;1.443123862;1.380889944;1.392835935;1.387800216;1.406257637;1.43550354;1.411475625;1.405136579;1.38021219;1.398790895;1.402419675;1.416579222;1.374790601;1.39703021;1.35997553;1.389051195;1.406310341;1.396355621;1.416916338;1.398942194;1.445161853;1.41346657;1.412825172;1.384326863;1.400356654;1.375313216;1.429827869;1.40733496;1.396965235;1.416480512;1.387828561;1.392839676;1.401575709;1.41934924;1.391069102;1.394968635;1.425232722;1.417698122;1.427097032;1.415087936;1.40478522;1.383157337;1.407780759;1.368981602;1.400342524;1.411056123;1.387231845;1.412785044;1.42452317;1.398012669;1.404498702;1.431637695;1.43016442;1.372766192;1.398929712;1.396535251;1.404154594;1.417751204;1.434006967;1.380213848;1.395193523;1.391433195;1.408893998;1.419298861;1.40874584;1.401750776;1.416860896;1.427859675;1.421902241;1.416015779;1.396128361;1.392775287;1.383361936;1.300584651;1.396904664;1.380896551;1.422641398;1.386891482;1.401921235;1.411093517;1.382547215;1.393893685;1.390359338;1.422095067;1.426810098;1.397502415;1.421381287
TGKA;1.275945591;1.382629895;1.185619334;1.396706599;0;1.301789472;1.241740365;1.410344809;1.242647359;1.41192783;1.317431132;1.265852152;1.373816452;1.410990326;1.271430124;1.187969082;1.185068799;1.392653468;1.356174201;1.299784542;1.346808929;1.345017777;1.38318599;1.233469839;1.349234661;1.310635349;1.187241128;1.240494163;1.287368622;1.264886679;1.371601651;1.22373425;1.118450399;1.385350146;1.308429265;1.331752709;1.344997706;1.32462972;1.3531971;1.388359889;1.320998194;1.225182033;1.333776367;1.402412898;1.262222008;1.43528001;1.358669632;1.367900206;1.413815689;1.403724594;1.421314379;1.234872339;1.354332733;1.319119001;1.368301571;1.407197363;1.348104649;1.410873525;1.334690071;1.25752745;1.326389444;1.234109085;1.356633752;1.252485643;1.415068338;1.373188143;1.384907402;1.347445007;1.253063452;1.35494697;1.233425584;1.346109207;1.38378264;1.383817796;1.364776046;1.441661451;1.293567639;1.359331774;1.400109259;1.338574668;1.349268764;1.260827657;1.425715015;1.26176858;1.363342837;1.368283985;1.394244902;1.2346021;1.254451308;1.125528259;1.335154596;1.376651788;1.332472749;1.273653069;1.331664316;1.298786129;1.36171099;1.320370294;1.31885821;1.368356125;1.367561526;1.333230801;1.144313395;1.340610155;1.326814068;1.375733671;1.34064765;1.347315476;1.07132049;1.356555224;1.230650017;1.383243905;1.367616456;1.395234106;1.344222736;1.302055902;1.267818523;1.361629077;1.356484486;1.291901658;1.345014153;1.29244625;1.373225306;1.250461756;1.367840833;1.261835903;1.420139729;1.321076212;1.309083328;1.247544162;1.212658688;1.386881215;1.301457162;1.315597804;1.239177699;1.379787242;1.40483159;1.327856861;1.307282285;1.234730345;1.39332614;1.36291665;1.37986665;1.276330553;1.274750521;1.221668332;1.189975986;1.357770778;1.329712903;1.254435463;1.371930443;1.212081473;1.38195112;1.366267534;1.407982459;1.37280965;1.357266381;1.359593849;1.37265889;1.174556656;1.279902011;1.340846851;1.29737116;1.270474892;1.210041849;1.216747298;1.225659042;1.398242643;1.341302512;1.296435816;1.310708609;1.307202305;1.298105685;1.311982993;1.306358042;1.353476103;1.393899861;1.383729645;1.361134299;1.352501661;1.311256339;1.189460176;1.38468306;1.368679311;1.273536042;1.408426341;1.165419355;1.365171199;1.358751475;1.361429465;1.293884938
UNAC;1.289635207;1.416627592;1.260177157;1.384409377;1.301789472;0;1.324427893;1.396287547;1.281193893;1.396793287;1.373014733;1.316935998;1.390078907;1.386686183;1.295498339;1.294244087;1.278098484;1.381971014;1.364893534;1.328153724;1.372245845;1.39193683;1.330560864;1.308436353;1.361242652;1.340868367;1.301532981;1.34919865;1.292677803;1.304321585;1.328371317;1.308779944;1.271462492;1.400814394;1.324168116;1.365390001;1.359909215;1.409035395;1.37944596;1.374708672;1.151671617;1.321781847;1.36410737;1.366934631;1.30638728;1.423068867;1.396774283;1.361277709;1.410529084;1.407327518;1.386020057;1.247444607;1.323939758;1.364272094;1.3894758;1.436811849;1.370505485;1.40949377;1.334702403;1.313580435;1.345177324;1.310185986;1.379122872;1.346693847;1.384859309;1.336868237;1.38496599;1.390209831;1.330944828;1.409379922;1.301564166;1.350657971;1.365640789;1.424516287;1.376006;1.405290031;1.354278543;1.349449186;1.366994416;1.328573379;1.384687894;1.31906259;1.424448751;1.307649824;1.362743247;1.363278469;1.381828194;1.329175301;1.286799054;1.283636256;1.369387247;1.357400096;1.371721501;1.317948225;1.372797062;1.330258664;1.369064216;1.362673491;1.350443131;1.358932924;1.346244066;1.353355371;1.284594246;1.349860829;1.350303539;1.416768901;1.384710183;1.35612007;1.245145166;1.374747487;1.283106819;1.3852423;1.397200886;1.409965871;1.376169133;1.303608562;1.307040349;1.418406843;1.391878095;1.323896396;1.361462491;1.348671646;1.413986371;1.311594355;1.424686276;1.31693219;1.403901512;1.346242624;1.33036031;1.314805708;1.271653401;1.384460728;1.328244578;1.38163898;1.316989065;1.391973905;1.414580859;1.361715915;1.361593809;1.293894931;1.429743899;1.346532001;1.386357231;1.316575087;1.330825343;1.298138386;1.288869142;1.372175479;1.316108826;1.29790378;1.388233198;1.262628995;1.38621303;1.334561773;1.384553261;1.388590051;1.398458484;1.322229511;1.3668569;1.270889377;1.316335986;1.347689878;1.336032272;1.35600121;1.300605081;1.329432007;1.32476277;1.42054258;1.362444726;1.341874186;1.351174807;1.357348126;1.360982658;1.354996364;1.349006514;1.394714778;1.394687182;1.37880757;1.404931516;1.375248324;1.35580554;1.2997561;1.391887362;1.387734564;1.30381448;1.370266942;1.26023668;1.354285519;1.379488428;1.385731539;1.365357638
CHMF;1.225457343;1.403873078;1.17868609;1.425872228;1.241740365;1.324427893;0;1.396106808;1.140926116;1.396785588;1.331392622;1.309279734;1.378673966;1.395693569;1.290266285;1.257740185;1.235248728;1.338587996;1.359775838;1.302897187;1.393116538;1.3516571;1.386728394;1.237463348;1.360390318;1.304650815;1.27748247;1.347319429;1.225475112;1.282790852;1.357597744;1.211764179;1.247538733;1.374728797;1.357459108;1.359856036;1.372587951;1.33933499;1.379121915;1.387965685;1.305877206;1.101000789;1.388044089;1.387466487;1.30522801;1.394834818;1.37803456;1.347213044;1.396316338;1.395150228;1.383730031;1.271397252;1.321036695;1.37496669;1.347674634;1.406152447;1.380065462;1.374384435;1.325692177;1.286096636;1.34113211;1.287755266;1.390065445;1.096501891;1.415735841;1.360695426;1.388594982;1.370311674;1.245620277;1.38502533;1.218414958;1.315409568;1.396802073;1.425030544;1.377076998;1.42700256;1.346506438;1.358083956;1.402167202;1.381251283;1.398543341;1.127570951;1.43117683;1.23309671;1.36005352;1.369070461;1.410644918;1.290153406;1.301721807;1.22769785;1.358085329;1.393352149;1.373575176;1.292167704;1.343000853;1.285660318;1.376987315;1.287419337;1.311789337;1.356305102;1.349235868;1.348929315;1.225522016;1.368087003;1.233429746;1.383894456;1.340930695;1.325960934;1.20640929;1.377076399;1.162316886;1.377443822;1.398105612;1.397193186;1.372158587;1.22689475;1.256305055;1.352800919;1.413996774;1.316770774;1.354456968;1.235909032;1.375935736;1.226198989;1.380347877;1.29725011;1.399215825;1.35067327;1.312429939;1.228378171;1.247720792;1.394915176;1.274934939;1.339603352;1.309132009;1.400936478;1.4185748;1.336079563;1.31246638;1.206694131;1.431111995;1.367183484;1.38298577;1.289182234;1.304055828;1.183341091;1.098856409;1.37606973;1.339635269;0.932790455;1.41241146;1.016215893;1.391812006;1.363964353;1.357138713;1.392678778;1.381247413;1.37159494;1.387047879;1.165010716;1.250010165;1.323929249;1.372334931;1.322621687;1.196611289;1.252201003;1.173857297;1.387942254;1.329409858;1.31269421;1.305245595;1.361393045;1.331536573;1.344455194;1.306110118;1.386574976;1.418569566;1.396803007;1.364783035;1.372784433;1.34537207;1.20664373;1.37285906;1.35221118;1.311576426;1.410515703;1.160540646;1.347546417;1.338575919;1.33381984;1.237358873
ALNU;1.398227828;1.401912886;1.373878825;1.394683579;1.410344809;1.396287547;1.396106808;0;1.366511055;1.4049435;1.365270155;1.36566916;1.382862706;1.403192835;1.35441025;1.393117135;1.368569497;1.426062819;1.402995527;1.412966039;1.422901676;1.416536379;1.381837745;1.377998828;1.392258067;1.397242154;1.410935101;1.357737143;1.36647468;1.364823031;1.381322064;1.365563701;1.388847906;1.413616437;1.366809509;1.414860634;1.391411403;1.411522253;1.398353864;1.402023361;1.340283418;1.363702871;1.399669913;1.415360112;1.383778155;1.441797405;1.390670704;1.41530427;1.414723866;1.410159977;1.421791965;1.34151426;1.389193495;1.409621252;1.434700754;1.424298655;1.404263334;1.44442061;1.378770869;1.36226512;1.384209693;1.373563156;1.404003471;1.387259812;1.414088467;1.437864004;1.421903743;1.417880254;1.400032682;1.407710347;1.382346118;1.38119556;1.387171175;1.438077244;1.417010325;1.408325153;1.361401167;1.377717195;1.420059671;1.387974544;1.409558754;1.368763232;1.400051478;1.393983294;1.381797805;1.383676159;1.408727553;1.376641065;1.391297263;1.353441399;1.403046569;1.433926592;1.380648639;1.355300678;1.42290974;1.392391298;1.400322498;1.371543166;1.386799149;1.369103191;1.3663851;1.385004559;1.364440877;1.403596566;1.376130531;1.411508501;1.393368123;1.387481312;1.361580695;1.421110269;1.391558096;1.3889413;1.397440406;1.426976893;1.39560487;1.34961347;1.392941522;1.394209766;1.403769709;1.386691429;1.353851096;1.334315843;1.378751029;1.357728706;1.435302677;1.402846016;1.384130477;1.383705913;1.38691609;1.401141799;1.356905778;1.394135585;1.37281076;1.388386349;1.393460535;1.39478403;1.382570144;1.388092969;1.386005945;1.360450251;1.452878455;1.406768263;1.415849898;1.408319774;1.361501468;1.380967039;1.336625008;1.411451266;1.381177328;1.368579468;1.39057323;1.377164782;1.447365361;1.391575335;1.42846025;1.376903281;1.431491249;1.363366208;1.414281548;1.344375793;1.404430227;1.388187332;1.37446551;1.385325633;1.344076306;1.407649726;1.363501189;1.38632553;1.394893688;1.382336086;1.395357132;1.371914111;1.403855796;1.415601215;1.368665224;1.399882584;1.429437488;1.391995192;1.422484361;1.409866738;1.4155168;1.376285468;1.39195656;1.444210635;1.378104062;1.400635492;1.337901428;1.417326158;1.399324389;1.422178736;1.363980257
NVTK;1.187625999;1.410111536;1.189086277;1.402106566;1.242647359;1.281193893;1.140926116;1.366511055;0;1.393516353;1.317070509;1.250129022;1.389780483;1.396966864;1.265006999;1.252895166;1.234351186;1.390362669;1.343515927;1.317938503;1.349829374;1.352728194;1.352577713;1.20098359;1.314974507;1.293736683;1.290166791;1.312489083;1.169851984;1.270502346;1.364365881;1.241678413;1.211743794;1.378368562;1.320444212;1.342241568;1.375603892;1.334703529;1.365320418;1.397643876;1.2699138;1.030527286;1.365466961;1.387331232;1.296050642;1.408788534;1.383373046;1.285863089;1.415230794;1.373523092;1.399093816;1.249383995;1.319418578;1.371011214;1.349357296;1.411043028;1.33855508;1.384218903;1.282964488;1.22916805;1.33490011;1.304660604;1.352556091;1.091888625;1.419818147;1.36863277;1.409351897;1.394071473;1.191770477;1.406912413;1.247243683;1.334737861;1.386392265;1.418543494;1.382626247;1.414152364;1.337950312;1.326276672;1.381738884;1.363136967;1.394498164;1.048224875;1.415254052;1.206906763;1.374550292;1.370265512;1.406393173;1.235254855;1.281667253;1.185579701;1.340617522;1.377200469;1.348501068;1.205381114;1.356371643;1.195742461;1.359169946;1.271985099;1.260375772;1.374039083;1.353051936;1.335923085;1.198659871;1.34436248;1.203602537;1.364767621;1.347747312;1.308790884;1.183939216;1.37113543;1.076887547;1.34511506;1.36989601;1.414328883;1.368012523;1.200393918;1.160848863;1.320511346;1.366230701;1.31068114;1.334680066;1.216605197;1.382187994;1.151304709;1.379667665;1.262618607;1.400267103;1.321177391;1.288873881;1.229426324;1.213084159;1.400377213;1.238969856;1.346032215;1.295385553;1.379883055;1.389409864;1.299567286;1.266875603;1.197949794;1.401012811;1.364788485;1.349289298;1.301290874;1.255192565;1.121102349;1.015342511;1.376674989;1.33216628;1.149938585;1.399590864;1.151434569;1.373790268;1.348138157;1.370744976;1.372484315;1.370337806;1.333753089;1.370643055;1.049194335;1.246144368;1.304876498;1.355885357;1.325921815;1.139167358;1.213494876;1.072944758;1.416067741;1.366890114;1.295887819;1.273517681;1.35425773;1.349885055;1.366274655;1.282960233;1.390061853;1.392950483;1.3891189;1.392894233;1.333703205;1.327192423;1.170245474;1.388397207;1.365649789;1.298871242;1.403831267;1.034343264;1.353195818;1.381506781;1.333827493;1.252158495
KCHE;1.405233812;1.401171408;1.40061307;1.4248074;1.41192783;1.396793287;1.396785588;1.4049435;1.393516353;0;1.403722634;1.373909957;1.423119602;1.373627777;1.411180577;1.41665695;1.400338444;1.415510428;1.398442023;1.430690584;1.415304327;1.390179474;1.401961585;1.394218991;1.388456128;1.391334765;1.432989374;1.426405595;1.397253383;1.386905228;1.416337652;1.408806458;1.416828858;1.404933749;1.394563236;1.412367059;1.41540569;1.412545917;1.449447846;1.382157376;1.42606326;1.388912949;1.400176097;1.387194362;1.407997817;1.421784367;1.402469224;1.394281182;1.403682801;1.428647352;1.451338347;1.364925326;1.40194981;1.387678551;1.40713768;1.431776548;1.403591547;1.395470033;1.413597062;1.414627139;1.437993104;1.391670134;1.415536062;1.395054728;1.413141472;1.41153663;1.43900834;1.416085256;1.422106847;1.398324813;1.41263144;1.446026762;1.413618387;1.431259273;1.414801119;1.408415451;1.398433737;1.410281683;1.413885477;1.402051545;1.404958378;1.386190173;1.426255513;1.41049861;1.397742915;1.405743514;1.426300838;1.416507665;1.407228291;1.381496471;1.408064791;1.403742693;1.412218963;1.377119416;1.422412081;1.397848019;1.395941899;1.386868063;1.408189068;1.430036165;1.389860878;1.385736594;1.389736277;1.412171475;1.367045914;1.424330762;1.420280549;1.418570304;1.38452992;1.405205583;1.41227822;1.398051684;1.433984878;1.43707885;1.406783845;1.387913748;1.400540026;1.434271017;1.378426773;1.40273962;1.420629237;1.389037154;1.389185644;1.38763097;1.35683526;1.397101219;1.402458007;1.362863243;1.39370776;1.387955365;1.377264821;1.422574374;1.40502564;1.404845964;1.399928284;1.420634947;1.427861688;1.40880932;1.402258441;1.397542503;1.377353317;1.450314769;1.421593323;1.375672156;1.394152075;1.379169933;1.414519861;1.441780247;1.366011092;1.39880557;1.403778081;1.388990509;1.409274253;1.408802425;1.412100575;1.404385925;1.383850189;1.395579789;1.40761272;1.381761178;1.397013138;1.39460732;1.416571908;1.406951186;1.39216967;1.390395425;1.395233786;1.405031656;1.395832314;1.40395521;1.384719827;1.441274976;1.422387714;1.401543221;1.398880589;1.391943841;1.360739415;1.421110668;1.368883741;1.381680215;1.394714096;1.394258825;1.401449233;1.424055111;1.376398892;1.416739518;1.379789935;1.419568737;1.399874181;1.434646296;1.396383194
